0〜100（自動計算）,0〜100（自動計算）,
0〜100。過去の支払遅延頻度・日数に基づく,0〜100。過去の支払遅延頻度・日数に基づく,
0 = Permanent retention,0 = 永久保存,
0 = 永久保存,0 = 永久保存,
1,1,
10,10,
11,11,
12,12,
2,2,
3,3,
3x3,3x3,
4,4,
5,5,
5x5,5x5,
6,6,
7,7,
8,8,
9,9,
A,A,
About,概要,
AC-.#####,AC-.#####,
Accept,受容,
Accepted,受容済み,
Access Control,アクセス制御,
Accessed,アクセス,
Accessed On,アクセス日時,
Access Level,アクセスレベル,
Access logging is disabled.,アクセスログは無効です。,
Access Type,アクセス種別,
Account,勘定科目,
Account ID,アカウントID,
Account Name,勘定科目名,
Acknowledged,確認済,
Acknowledged By,確認者,
Acknowledged Date,確認日時,
Action,アクション,
Action By,実行者,
Action Content,措置内容,
Action Date,実行日,
Action Description,措置詳細,
Action on Expiry,期限時アクション,
Action Title,是正措置件名,
Action Type,措置種別,
Active,Active,
Actual End,監査実績終了日,
Actual Start,監査実績開始日,
Actual to Date,実績累計額,
AE-.#####,AE-.#####,
AF-.#####,AF-.#####,
AI Summary,AI要約,
Alert Message,アラートメッセージ,
Alert Recipients,アラート通知先,
Alert Threshold Pct,アラート閾値（%）,
Alert Type,アラート種別,
All,All,
All Categories,全カテゴリ,
All Years,全年度,
Amended From,修正元,
Amendments,修正回数,
Amount Rounding,金額丸め単位,
Annual Total,年間合計,
Anti-Social Check,反社チェック,
Anti-Social Check Result,反社チェック結果,
API Endpoint,APIエンドポイント,
API Key,APIキー,
API Secret,APIシークレット,
API Settings,API設定,
API自動照会,API自動照会,
Approval,承認,
Approval Date,承認日,
Approval Workflow Enabled,承認ワークフロー有効,
Approval Workflow Settings,承認ワークフロー設定,
Approved,承認済,
Approved Amount,承認与信枠,
Approved Budget Amount,承認済み予算額,
Approved By,承認者,
Approved Date,承認日,
Approver Role,承認者ロール,
Approver User,承認者ユーザー,
AP-.YYYY.-,AP-.YYYY.-,
Archive,アーカイブ,
Archived,アーカイブ,
Article {0} does not exist,記事 {0} は存在しません,
ASC-.#####,ASC-.#####,
Assessment Date,審査実施日,
Assessment Score,評価スコア,
Assessment Type,審査種別,
Assessor,評価実施者,
Assigned Team,担当チーム,
Assigned To,担当者,
Attachments,Attachments,
Audit,内部監査,
Audit Checklist,監査チェックリスト,
Audit Checklist Item,チェックリスト項目,
Audit Engagement,個別監査,
Audit Finding,監査発見事項,
Audit Manager,内部監査責任者,
Audit Opinion,監査意見,
Auditor,監査人,
Audit Plan,監査計画,
Audit Policy,監査方針,
Audit Report File,監査報告書,
Audit Scope,監査範囲,
Audit Settings,監査設定,
Audit Team,監査チーム,
Audit Type,監査種別,
Audit Year,監査対象年度,
Author,著者,
Auto Block on Exceed,与信枠超過時に自動ブロック,
Auto Reminder Days,自動リマインダー日数,
Auto Renew,自動更新,
Available Amount,利用可能額,
Average,平均ベース,
Average Monthly Transaction,月間平均取引額,
Avoid,回避,
B,B,
Backup Owner,代行者,
Basic Settings,基本設定,
Batch Size,バッチサイズ,
BF-.YYYY.-,BF-.YYYY.-,
BP-.YYYY.-,BP-.YYYY.-,
BR-.#####,BR-.#####,
Breached,超過,
Budget,予算管理,
Budget Amount,予算額,
Budget Currency,予算通貨,
Budget Forecast,着地見込み,
Budget Forecast Item,着地見込み明細,
Budget Manager,予算管理者,
Budget Plan,予算計画,
Budget Plan Item,予算計画明細,
Budget Plan Items,予算計画明細,
Budget Plan (Link),予算計画,
Budget Policy,予算編成方針,
Budget Revision,予算修正,
Budget Revision Item,予算修正明細,
Budget Settings,予算管理設定,
Budget Title,予算計画名称,
Budget Type,予算種別,
Budget vs Actual,予実対比レポート,
Business Hours End,営業終了時間,
Business Hours Start,営業開始時間,
C,C,
